Borough,Sector,2021
Hounslow,Education,"9,000"
Hounslow,Health,"11,000"
Hounslow,"Arts, entertainment and recreation","3,000"
Hounslow,Other services,"2,000"
Islington,Primary & Utilities,700
Islington,Manufacturing,"2,250"
Islington,Construction,"5,000"
Islington,Wholesale,"5,000"
Islington,Retail,"15,000"
Islington,Transportation and Storage,"7,000"
Islington,Accomodation and food service activities,"15,000"
Islington,Information and Communication,"37,000"
Islington,Financial and insurance activities,"13,000"
Islington,"Professional, Real Estate, Scientific and technical activities","60,000"
Islington,Administrative and support service activities,"33,000"
Islington,Public Admin and defence,"5,000"
Islington,Education,"11,000"
Islington,Health,"20,000"
Islington,"Arts, entertainment and recreation","6,000"
Islington,Other services,"6,000"
Kensington and Chelsea,Primary & Utilities,800
Kensington and Chelsea,Manufacturing,"1,250"
Kensington and Chelsea,Construction,"2,250"
Kensington and Chelsea,Wholesale,"3,000"
Kensington and Chelsea,Retail,"21,000"
Kensington and Chelsea,Transportation and Storage,"2,000"
Kensington and Chelsea,Accomodation and food service activities,"17,000"
Kensington and Chelsea,Information and Communication,"18,000"
Kensington and Chelsea,Financial and insurance activities,"3,500"
Kensington and Chelsea,"Professional, Real Estate, Scientific and technical activities","17,000"
Kensington and Chelsea,Administrative and support service activities,"8,000"
Kensington and Chelsea,Public Admin and defence,"3,000"
Kensington and Chelsea,Education,"7,000"
Kensington and Chelsea,Health,"23,000"
Kensington and Chelsea,"Arts, entertainment and recreation","6,000"
Kensington and Chelsea,Other services,"4,000"
Kingston upon Thames,Primary & Utilities,175
Kingston upon Thames,Manufacturing,"2,250"
Kingston upon Thames,Construction,"3,000"
Kingston upon Thames,Wholesale,"3,500"
Kingston upon Thames,Retail,"9,000"
Kingston upon Thames,Transportation and Storage,"1,750"
Kingston upon Thames,Accomodation and food service activities,"5,000"
Kingston upon Thames,Information and Communication,"3,500"
Kingston upon Thames,Financial and insurance activities,"1,000"
Kingston upon Thames,"Professional, Real Estate, Scientific and technical activities","6,000"
Kingston upon Thames,Administrative and support service activities,"5,000"
Kingston upon Thames,Public Admin and defence,"4,000"
Kingston upon Thames,Education,"9,000"
Kingston upon Thames,Health,"13,000"
Kingston upon Thames,"Arts, entertainment and recreation","2,500"
Kingston upon Thames,Other services,"1,750"
Lambeth,Primary & Utilities,"1,750"
Lambeth,Manufacturing,"1,500"
Lambeth,Construction,"5,000"
Lambeth,Wholesale,"3,000"
Lambeth,Retail,"10,000"
Lambeth,Transportation and Storage,"5,000"
Lambeth,Accomodation and food service activities,"14,000"
Lambeth,Information and Communication,"11,000"
Lambeth,Financial and insurance activities,"1,750"
Lambeth,"Professional, Real Estate, Scientific and technical activities","15,000"
Lambeth,Administrative and support service activities,"13,000"
Lambeth,Public Admin and defence,"10,000"
Lambeth,Education,"9,000"
Lambeth,Health,"38,000"
Lambeth,"Arts, entertainment and recreation","6,000"
Lambeth,Other services,"4,000"
Lewisham,Primary & Utilities,200
Lewisham,Manufacturing,"1,250"
Lewisham,Construction,"3,000"
Lewisham,Wholesale,"2,000"
Lewisham,Retail,"8,000"
Lewisham,Transportation and Storage,"3,000"
Lewisham,Accomodation and food service activities,"6,000"
Lewisham,Information and Communication,"1,750"
Lewisham,Financial and insurance activities,500
Lewisham,"Professional, Real Estate, Scientific and technical activities","6,000"
Lewisham,Administrative and support service activities,"6,000"
Lewisham,Public Admin and defence,"2,000"
Lewisham,Education,"10,000"
Lewisham,Health,"13,000"
Lewisham,"Arts, entertainment and recreation","2,250"
Lewisham,Other services,"1,750"
Merton,Primary & Utilities,450
Merton,Manufacturing,"2,250"
Merton,Construction,"4,500"
Merton,Wholesale,"5,000"
Merton,Retail,"9,000"
Merton,Transportation and Storage,"5,000"
Merton,Accomodation and food service activities,"7,000"
Merton,Information and Communication,"4,000"
Merton,Financial and insurance activities,"2,000"
Merton,"Professional, Real Estate, Scientific and technical activities","10,000"
Merton,Administrative and support service activities,"9,000"
Merton,Public Admin and defence,"2,000"
Merton,Education,"7,000"
Merton,Health,"8,000"
Merton,"Arts, entertainment and recreation","2,250"
Merton,Other services,"2,500"
Newham,Primary & Utilities,"1,750"
Newham,Manufacturing,"4,500"
Newham,Construction,"8,000"
Newham,Wholesale,"3,500"
Newham,Retail,"17,000"
Newham,Transportation and Storage,"8,000"
Newham,Accomodation and food service activities,"10,000"
Newham,Information and Communication,"2,500"
Newham,Financial and insurance activities,"1,250"
Newham,"Professional, Real Estate, Scientific and technical activities","11,000"
Newham,Administrative and support service activities,"13,000"
Newham,Public Admin and defence,"15,000"
Newham,Education,"13,000"
Newham,Health,"11,000"
Newham,"Arts, entertainment and recreation","2,250"
Newham,Other services,"3,500"
Redbridge,Primary & Utilities,450
Redbridge,Manufacturing,"1,250"
Redbridge,Construction,"6,000"
Redbridge,Wholesale,"3,500"
Redbridge,Retail,"9,000"
Redbridge,Transportation and Storage,"3,000"
Redbridge,Accomodation and food service activities,"5,000"
Redbridge,Information and Communication,"3,000"
Redbridge,Financial and insurance activities,"1,250"
Redbridge,"Professional, Real Estate, Scientific and technical activities","8,000"
Redbridge,Administrative and support service activities,"9,000"
Redbridge,Public Admin and defence,"5,000"
Redbridge,Education,"9,000"
Redbridge,Health,"14,000"
Redbridge,"Arts, entertainment and recreation","2,000"
Redbridge,Other services,"2,000"
Richmond upon Thames,Primary & Utilities,350
Richmond upon Thames,Manufacturing,"1,000"
Richmond upon Thames,Construction,"2,500"
Richmond upon Thames,Wholesale,"3,000"
Richmond upon Thames,Retail,"7,000"
Richmond upon Thames,Transportation and Storage,"2,000"
Richmond upon Thames,Accomodation and food service activities,"7,000"
Richmond upon Thames,Information and Communication,"6,000"
Richmond upon Thames,Financial and insurance activities,"1,500"
Richmond upon Thames,"Professional, Real Estate, Scientific and technical activities","14,000"
Richmond upon Thames,Administrative and support service activities,"6,000"
Richmond upon Thames,Public Admin and defence,"1,750"
Richmond upon Thames,Education,"9,000"
Richmond upon Thames,Health,"9,000"
Richmond upon Thames,"Arts, entertainment and recreation","6,000"
Richmond upon Thames,Other services,"2,250"
