ward name,borough,Usual residents aged 3+,Main language is English,Main language is English percentage,Language not English: Speak English very well,Language not English: Speak English well,Language not English: Cannot speak English well,Language not English: Cannot speak English
Norbury & Pollards Hill,Croydon,12007,8969,75,1232,1175,526,105
Norbury Park,Croydon,10260,8251,80,840,754,354,61
Old Coulsdon,Croydon,9410,8971,95,253,134,39,13
Park Hill & Whitgift,Croydon,5564,4282,77,789,342,132,19
Purley & Woodcote,Croydon,15984,14254,89,985,519,183,43
Purley Oaks & Riddlesdown,Croydon,10109,9002,89,614,336,133,24
Sanderstead,Croydon,15061,14142,94,551,253,91,24
Selhurst,Croydon,12315,9661,78,1016,1042,526,70
Selsdon & Addington Village,Croydon,10040,9187,92,465,273,102,13
Selsdon Vale & Forestdale,Croydon,9348,8702,93,386,189,61,10
Shirley North,Croydon,14866,13419,90,693,518,204,32
Shirley South,Croydon,10511,9533,91,477,349,139,13
South Croydon,Croydon,16399,13807,84,1296,935,310,51
South Norwood,Croydon,15824,13110,83,1168,1001,477,68
Thornton Heath,Croydon,17292,14048,81,1241,1231,650,122
Waddon,Croydon,17683,14394,81,1604,1176,446,63
West Thornton,Croydon,17908,12848,72,2014,1976,925,145
Woodside,Croydon,16386,14363,88,921,708,340,54
Central Greenford,Ealing,13526,8745,65,1810,1939,910,122
Dormers Wells,Ealing,14684,8838,60,2094,2272,1271,209
Ealing Broadway,Ealing,13753,9941,72,1909,1232,564,107
Ealing Common,Ealing,15333,11682,76,1899,1188,486,78
East Acton,Ealing,15475,10725,69,2174,1776,698,102
Greenford Broadway,Ealing,16392,11169,68,2044,2096,900,183
Hanger Hill,Ealing,16233,11092,68,2378,1765,831,167
Hanwell Broadway,Ealing,14568,11241,77,1483,1192,575,77
Lady Margaret,Ealing,15621,9013,58,2446,2571,1309,282
North Acton,Ealing,17849,12154,68,2479,2082,976,158
North Greenford,Ealing,15620,10125,65,2163,2305,900,127
North Hanwell,Ealing,14567,10963,75,1416,1476,617,95
Northfield,Ealing,13951,11523,83,1337,788,273,30
Northolt Mandeville,Ealing,16722,11230,67,2207,2263,880,142
Northolt West End,Ealing,15802,10915,69,1976,1982,763,166
Norwood Green,Ealing,14872,9724,65,1990,1775,1105,278
Perivale,Ealing,15697,9971,64,2287,2273,994,172
Pitshanger,Ealing,14697,11609,79,1483,1030,506,69
South Acton,Ealing,16357,11866,73,2110,1555,701,125
Southall Broadway,Ealing,10607,6163,58,1460,1781,1009,194
Southall Green,Ealing,15798,8652,55,2334,2758,1670,384
Southall West,Ealing,6570,3481,53,1034,1204,726,125
Southfield,Ealing,15600,12841,82,1745,705,285,24
Walpole,Ealing,14135,11194,79,1450,936,491,64
Arnos Grove,Enfield,8564,6775,79,821,606,318,44
Bowes,Enfield,10386,6532,63,1395,1515,833,111
Brimsdown,Enfield,15661,11751,75,1197,1520,1009,184
Bullsmoor,Enfield,11001,8638,79,645,894,677,147
Bush Hill Park,Enfield,12560,10729,85,731,669,363,68
Carterhatch,Enfield,12296,9376,76,819,1139,832,130
Cockfosters,Enfield,9823,8202,83,680,620,272,49
Edmonton Green,Enfield,16351,10941,67,1519,2030,1566,295
Enfield Lock,Enfield,17104,13096,77,1313,1429,1080,186
Grange Park,Enfield,8363,7220,86,501,405,195,42
Haselbury,Enfield,17565,11911,68,1625,2238,1532,259
Highfield,Enfield,9248,6989,76,774,957,457,71
Jubilee,Enfield,15735,11046,70,1398,1774,1307,210
Lower Edmonton,Enfield,15975,11021,69,1443,1934,1334,243
New Southgate,Enfield,10721,7595,71,1263,1212,578,73
Oakwood,Enfield,8439,7145,85,559,488,214,33
Palmers Green,Enfield,10383,7508,72,1105,1037,624,109
Ponders End,Enfield,12909,9221,71,1062,1450,1001,175
Ridgeway,Enfield,12365,10968,89,617,510,238,32
Southbury,Enfield,14662,11994,82,972,1038,567,91
Southgate,Enfield,14720,11374,77,1366,1235,634,111
Town,Enfield,12832,11257,88,629,598,293,55
Upper Edmonton,Enfield,16148,10815,67,1588,2033,1456,256
Whitewebbs,Enfield,13828,12193,88,669,556,356,54
Winchmore Hill,Enfield,10064,8565,85,614,582,266,37
Abbey Wood,Greenwich,16703,13624,82,1230,1244,520,85
Blackheath Westcombe,Greenwich,14472,12910,89,1018,345,167,32
Charlton Hornfair,Greenwich,12064,10062,83,921,709,310,62
Charlton Village & Riverside,Greenwich,9920,8122,82,853,571,309,65
East Greenwich,Greenwich,13813,11536,84,1490,548,215,24
Eltham Page,Greenwich,9637,8164,85,673,526,240,34
Eltham Park & Progress,Greenwich,10034,9136,91,467,268,130,33
Eltham Town & Avery Hill,Greenwich,14991,13229,88,898,575,237,52
Greenwich Creekside,Greenwich,10786,8554,79,1386,605,205,36
Greenwich Park,Greenwich,9930,8433,85,953,337,171,36
Greenwich Peninsula,Greenwich,10946,8166,75,1846,680,216,38
Kidbrooke Park,Greenwich,9763,8178,84,767,524,255,39
Kidbrooke Village & Sutcliffe,Greenwich,5667,4536,80,686,325,99,21
Middle Park & Horn Park,Greenwich,9345,8141,87,515,445,206,38
"Mottingham, Coldharbour & New Eltham",Greenwich,13997,12459,89,779,503,208,48
Plumstead & Glyndon,Greenwich,20844,14228,68,2272,2732,1242,370
Plumstead Common,Greenwich,15024,12408,83,1143,950,439,84
Shooters Hill,Greenwich,11416,9516,83,807,646,373,74
Thamesmead Moorings,Greenwich,11879,10052,85,830,649,303,45
West Thamesmead,Greenwich,11316,9121,81,1012,755,377,51
Woolwich Arsenal,Greenwich,11754,8772,75,1666,834,409,73
Woolwich Common,Greenwich,12453,9412,76,1183,1164,572,122
Woolwich Dockyard,Greenwich,10891,8312,76,1037,936,510,96
Brownswood,Hackney,8649,6923,80,871,517,284,54
Cazenove,Hackney,14262,10784,76,1236,1148,917,177
Clissold,Hackney,12117,10275,85,908,504,363,67
Dalston,Hackney,8755,7165,82,949,375,225,41
De Beauvoir,Hackney,8708,7172,82,866,411,220,39
Hackney Central,Hackney,12551,10213,81,1177,620,460,81
Hackney Downs,Hackney,12615,10172,81,1036,712,586,109
Hackney Wick,Hackney,12004,10215,85,774,564,380,71
Haggerston,Hackney,14027,11037,79,1557,769,552,112
Homerton,Hackney,12701,10131,80,1097,805,563,105
Hoxton East & Shoreditch,Hackney,11763,8989,76,1614,683,408,69
Hoxton West,Hackney,13390,9956,74,2041,878,465,50
King's Park,Hackney,12762,10557,83,941,673,481,110
Lea Bridge,Hackney,13849,11272,81,1230,779,475,93
London Fields,Hackney,11963,9926,83,986,526,439,86
Shacklewell,Hackney,8493,6770,80,750,550,349,74
Springfield,Hackney,14319,10990,77,1039,1274,851,165
Stamford Hill West,Hackney,9562,7463,78,638,836,526,99
Stoke Newington,Hackney,13132,11012,84,1003,600,441,76
Victoria,Hackney,11869,10005,84,1003,449,343,69
Woodberry Down,Hackney,11738,8673,74,1291,1017,626,131
Addison,Hammersmith and Fulham,7589,5656,75,1162,548,199,24
Avonmore,Hammersmith and Fulham,7364,5442,74,1230,509,155,28
Brook Green,Hammersmith and Fulham,7844,5968,76,1272,430,152,22
College Park & Old Oak,Hammersmith and Fulham,9704,7131,73,1222,965,330,56
Coningham,Hammersmith and Fulham,10476,8193,78,1256,773,229,25
Fulham Reach,Hammersmith and Fulham,11284,8995,80,1470,614,181,24
Fulham Town,Hammersmith and Fulham,7244,6038,83,854,266,71,15
Grove,Hammersmith and Fulham,7221,5810,80,900,358,132,21
Hammersmith Broadway,Hammersmith and Fulham,7436,5642,76,1003,556,211,24
Lillie,Hammersmith and Fulham,6481,4979,77,915,439,130,18
Munster,Hammersmith and Fulham,11945,9829,82,1430,497,172,17
Palace & Hurlingham,Hammersmith and Fulham,11144,9251,83,1283,426,157,27
Parsons Green & Sandford,Hammersmith and Fulham,7631,6389,84,895,241,83,23
Ravenscourt,Hammersmith and Fulham,6768,5353,79,812,417,155,31
Sands End,Hammersmith and Fulham,10532,8489,81,1298,539,184,22
Shepherd's Bush Green,Hammersmith and Fulham,5448,4035,74,737,493,154,29
Walham Green,Hammersmith and Fulham,7525,6089,81,896,396,126,18
