Borough,Sector,2011 Numbers,2021 Numbers
Sutton,Construction,"4,000","6,000"
Sutton,Wholesale,"3,000","3,000"
Sutton,Retail,"7,000","7,000"
Sutton,Transportation and Storage,"4,000","4,500"
Sutton,Accomodation and food service activities,"2,250","5,000"
Sutton,Information and Communication,"3,000","2,250"
Sutton,Financial and insurance activities,"1,000","1,250"
Sutton,"Professional, Real Estate, Scientific and technical activities","5,000","7,000"
Sutton,Administrative and support service activities,"14,000","19,000"
Sutton,Public Admin and defence,"2,500","1,750"
Sutton,Education,"6,000","7,000"
Sutton,Health,"11,000","13,000"
Sutton,"Arts, entertainment and recreation","1,000","1,500"
Sutton,Other services,"1,250","1,500"
Tower Hamlets,Primary & Utilities,700,"1,000"
Tower Hamlets,Manufacturing,"3,000","2,500"
Tower Hamlets,Construction,"6,000","5,000"
Tower Hamlets,Wholesale,"5,000","6,000"
Tower Hamlets,Retail,"8,000","13,000"
Tower Hamlets,Transportation and Storage,"4,500","6,000"
Tower Hamlets,Accomodation and food service activities,"11,000","15,000"
Tower Hamlets,Information and Communication,"22,000","28,000"
Tower Hamlets,Financial and insurance activities,"74,000","69,000"
Tower Hamlets,"Professional, Real Estate, Scientific and technical activities","27,000","54,000"
Tower Hamlets,Administrative and support service activities,"28,000","28,000"
Tower Hamlets,Public Admin and defence,"8,000","13,000"
Tower Hamlets,Education,"14,000","17,000"
Tower Hamlets,Health,"16,000","23,000"
Tower Hamlets,"Arts, entertainment and recreation","4,500","4,000"
Tower Hamlets,Other services,"2,500","4,500"
Waltham Forest,Primary & Utilities,500,900
Waltham Forest,Manufacturing,"3,000","2,500"
Waltham Forest,Construction,"2,250","4,500"
Waltham Forest,Wholesale,"4,000","4,500"
Waltham Forest,Retail,"7,000","9,000"
Waltham Forest,Transportation and Storage,"3,000","3,500"
Waltham Forest,Accomodation and food service activities,"2,500","4,500"
Waltham Forest,Information and Communication,"1,500","1,750"
Waltham Forest,Financial and insurance activities,800,700
Waltham Forest,"Professional, Real Estate, Scientific and technical activities","3,000","5,000"
Waltham Forest,Administrative and support service activities,"7,000","9,000"
Waltham Forest,Public Admin and defence,"2,500","3,000"
Waltham Forest,Education,"7,000","9,000"
Waltham Forest,Health,"10,000","10,000"
Waltham Forest,"Arts, entertainment and recreation","1,500","1,750"
Waltham Forest,Other services,"1,750","1,750"
Wandsworth,Primary & Utilities,700,600
Wandsworth,Manufacturing,"2,000","1,750"
Wandsworth,Construction,"4,000","4,500"
Wandsworth,Wholesale,"5,000","6,000"
Wandsworth,Retail,"11,000","12,000"
Wandsworth,Transportation and Storage,"5,000","4,000"
Wandsworth,Accomodation and food service activities,"8,000","11,000"
Wandsworth,Information and Communication,"6,000","5,000"
Wandsworth,Financial and insurance activities,"1,500","1,250"
Wandsworth,"Professional, Real Estate, Scientific and technical activities","12,000","15,000"
Wandsworth,Administrative and support service activities,"8,000","9,000"
Wandsworth,Public Admin and defence,"5,000","4,500"
Wandsworth,Education,"10,000","12,000"
Wandsworth,Health,"19,000","27,000"
Wandsworth,"Arts, entertainment and recreation","3,500","4,000"
Wandsworth,Other services,"3,000","3,000"
Westminster,Primary & Utilities,"2,500","6,000"
Westminster,Manufacturing,"3,500","13,000"
Westminster,Construction,"12,000","14,000"
Westminster,Wholesale,"16,000","18,000"
Westminster,Retail,"59,000","52,000"
Westminster,Transportation and Storage,"15,000","11,000"
Westminster,Accomodation and food service activities,"75,000","75,000"
Westminster,Information and Communication,"59,000","71,000"
Westminster,Financial and insurance activities,"41,000","60,000"
Westminster,"Professional, Real Estate, Scientific and technical activities","129,000","160,000"
Westminster,Administrative and support service activities,"58,000","61,000"
Westminster,Public Admin and defence,"53,000","84,000"
Westminster,Education,"26,000","31,000"
Westminster,Health,"27,000","41,000"
Westminster,"Arts, entertainment and recreation","21,000","25,000"
Westminster,Other services,"25,000","22,000"
